id,Label,timeset,group,country,year,season,start,end,lat,lng,notes,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality,triangles
112,SS Lazio,,serie-a,Italy,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,61,46,107,551758481,608537554,1160296035,4,0.471215,0.529035,971.553044,0.162183,0.114811,3,0.00223,0,1,0.312458,0.544417,464
113,Hellas Verona,,serie-a,Italy,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,24,27,51,36746943,155155104,191902047,5,0.408503,0.451885,79.013595,0.064655,0.076223,3,0.001353,0,1,0.569801,0.244763,200
117,Udinese Calcio,,serie-a,Italy,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,59,75,134,181335497,571575491,752910988,4,0.487859,0.546757,1394.468558,0.119039,0.230495,3,0.002766,0,1,0.235589,0.653913,376
118,AC Fiorentina,,serie-a,Italy,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,0,5,5,0,151230594,151230594,4,0.384749,0.411787,0,0,0.011945,3,0.00071,0,46,0.3,0.034033,3
119,Atalanta BC,,serie-a,Italy,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,49,58,107,197168405,460413171,657581576,4,0.460417,0.516591,532.999827,0.144808,0.181862,3,0.001648,0,1,0.44127,0.48221,278
120,AC Perugia,,serie-a,Italy,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,4,4,8,17934785,53525416,71460201,5,0.355878,0.382278,0.289655,0.009126,0.016575,3,0.000704,0,1,0.9,0.051296,9
122,Milan AC,,serie-a,Italy,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,15,16,31,289729131,121088087,410817218,5,0.393939,0.432278,59.344583,0.035117,0.036315,3,0.001255,0,1,0.397661,0.142021,68
123,FC Internazionale,,serie-a,Italy,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,70,59,129,810351713,664312638,1474664351,4,0.478355,0.535822,1259.540423,0.173565,0.151667,3,0.002212,0,1,0.365714,0.571233,448
124,US Lecce,,serie-a,Italy,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,7,22,29,12891172,90879192,103770364,4,0.420952,0.462293,73.065277,0.014101,0.072649,3,0.00118,0,1,0.642105,0.184125,122
125,Bologna FC 1909,,serie-a,Italy,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,55,42,97,189980642,175239223,365219865,4,0.432485,0.488688,362.674211,0.160679,0.115891,3,0.001742,0,1,0.463964,0.446538,309
126,Reggina Calcio,,serie-a,Italy,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,8,16,24,19321835,71850575,91172410,4,0.424184,0.464932,84.068828,0.021502,0.043833,3,0.001167,0,1,0.555556,0.130819,95
128,Vicenza Calcio,,serie-a,Italy,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,0,24,24,0,53154427,53154427,5,0.414953,0.467868,0,0,0.070559,3,0.001107,0,51,0.757143,0.162833,159
129,SSC Napoli,,serie-a,Italy,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,74,41,115,693717490,446571201,1140288691,4,0.460417,0.516968,712.885979,0.193669,0.107311,3,0.002116,0,1,0.353411,0.546761,487
130,AS Bari,,serie-a,Italy,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,8,19,27,27011685,86229396,113241081,5,0.40255,0.446983,44.073224,0.037234,0.058055,3,0.001161,0,1,0.725,0.157159,87
132,FC Girondins Bordeaux,,ligue-1,France,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,37,47,84,188624144,332343413,520967557,4,0.477322,0.538084,1092.914759,0.038043,0.070078,4,0.002452,0,1,0.305051,0.381529,453
133,AS Monaco,,ligue-1,France,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,67,82,149,745239293,1186948799,1932188092,4,0.522459,0.587104,1962.771034,0.097467,0.127482,1,0.002955,0,1,0.257143,0.604346,621
134,Olympique Marseille,,ligue-1,France,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,77,61,138,463920136,480000486,943920622,3,0.504566,0.566365,1320.876006,0.09153,0.080431,4,0.002725,0,1,0.319408,0.517639,604
137,Stade Rennais FC,,ligue-1,France,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,60,59,119,260689975,354715861,615405836,4,0.481481,0.542609,904.29083,0.06622,0.06462,4,0.002391,0,1,0.291353,0.433397,465
138,Paris Saint-Germain,,ligue-1,France,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,72,60,132,1462763100,583993038,2046756138,3,0.509217,0.567873,1510.733389,0.12977,0.083029,1,0.002833,0,1,0.31049,0.603335,666
139,FC Sochaux-Montbéliard,,ligue-1,France,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,15,31,46,24387746,128334551,152722297,4,0.454733,0.50264,206.686394,0.020515,0.032271,4,0.001531,0,1,0.417989,0.180727,158
140,FC Toulouse,,ligue-1,France,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,28,26,54,86396658,168840925,255237583,4,0.454733,0.499623,778.335821,0.025643,0.036654,4,0.001845,0,1,0.321008,0.207336,191
141,SC Bastia,,ligue-1,France,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,3,20,23,3520852,65195046,68715898,4,0.412313,0.45362,13.37977,0.003527,0.019193,4,0.001142,0,1,0.647059,0.111319,88
142,AS Saint-Étienne,,ligue-1,France,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,51,37,88,161605361,219337277,380942638,4,0.474249,0.525264,1238.916405,0.059682,0.0501,4,0.002777,0,1,0.281621,0.353109,403
143,RC Strasbourg Alsace,,ligue-1,France,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,17,28,45,32201780,104395533,136597313,4,0.441118,0.482655,229.704073,0.012245,0.039462,4,0.001519,0,1,0.343915,0.200025,130
144,AC Le Havre,,ligue-1,France,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,1,23,24,457829,69363041,69820870,4,0.428295,0.470965,3.177906,0.000737,0.03156,4,0.001105,0,1,0.566667,0.133288,68
145,EA Guingamp,,ligue-1,France,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,6,20,26,6309688,68979667,75289355,4,0.423372,0.464555,58.407557,0.001728,0.017962,4,0.001384,0,1,0.326316,0.097182,62
146,FC Nantes,,ligue-1,France,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,16,33,49,34463047,167633268,202096315,4,0.45567,0.505279,183.202103,0.022462,0.04805,4,0.001682,0,1,0.359664,0.245,214
147,Olympique Lyon,,ligue-1,France,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,65,73,138,589968681,826272289,1416240970,4,0.515152,0.573529,1150.841975,0.091609,0.122974,4,0.002466,0,1,0.32671,0.585668,559
148,HSC Montpellier,,ligue-1,France,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,20,31,51,50589537,178299843,228889380,4,0.452869,0.5,483.041334,0.017197,0.04336,4,0.001916,0,1,0.294118,0.208915,165
151,LOSC Lille,,ligue-1,France,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,45,57,102,184364977,563011290,747376267,4,0.482533,0.538462,777.125957,0.054686,0.079902,4,0.002267,0,1,0.315988,0.457187,419
152,ES Troyes AC,,ligue-1,France,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,3,20,23,4551820,50144066,54695886,4,0.422562,0.464178,45.196099,0.001595,0.018917,4,0.001258,0,1,0.551471,0.095814,75
153,Spartak Moscow,,premier-liga,Russia,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,43,35,78,164132870,129652175,293785045,4,0.45102,0.503017,2261.230607,0.029424,0.023575,5,0.00319,0,1,0.212766,0.210344,230
155,Lokomotiv Moscow,,premier-liga,Russia,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,47,33,80,192380013,111929459,304309472,5,0.413084,0.467345,1652.059115,0.037384,0.016643,5,0.002963,0,1,0.223171,0.20523,183
156,Krylya Sovetov Samara,,premier-liga,Russia,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,21,19,40,22850410,31564886,54415296,4,0.36289,0.395928,441.354872,0.005515,0.008573,5,0.002366,0,1,0.373684,0.068637,71
160,Zenit St. Petersburg,,premier-liga,Russia,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,46,33,79,364245673,202430192,566675865,4,0.473233,0.517722,2184.558165,0.038681,0.027349,5,0.002811,0,1,0.253659,0.227715,208
162,Torpedo Moscow,,premier-liga,Russia,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,7,12,19,5535188,21827110,27362298,4,0.354735,0.389894,311.500803,0.001263,0.004845,5,0.001501,0,1,0.575758,0.029568,38
165,Saturn Ramenskoe,,premier-liga,Russia,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,16,8,24,16524937,8412365,24937302,5,0.343701,0.371719,73.448506,0.006049,0.003383,5,0.001164,0,1,0.490909,0.04455,27
166,CSKA Moscow,,premier-liga,Russia,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,21,21,42,62485979,174699438,237185417,4,0.442886,0.483786,1714.497634,0.005435,0.027577,5,0.003767,0,1,0.187097,0.12091,87
168,Chernomorets Novorossijsk,,premier-liga,Russia,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,1,4,5,127317,2694470,2821787,5,0.355096,0.379073,446,0,0.002239,5,0.002199,0,67,0.2,0.011675,2
169,Sokol Saratov,,premier-liga,Russia,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,1,1,2,83931,127317,211248,6,0.262911,0.273735,224,0,0,5,0.002347,0,68,0,0.000462,0
170,Dinamo Moscow,,premier-liga,Russia,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,42,29,71,210029714,139178564,349208278,4,0.427466,0.466063,1377.779078,0.022218,0.022014,5,0.002865,0,1,0.257576,0.187739,136
172,Rotor Volgograd,,premier-liga,Russia,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,0,3,3,0,3631498,3631498,5,0.335347,0.357432,0,0,0.000702,5,0.000882,0,70,0,0.005523,0
